ticker,yfExchange,convertedExchangePYPL,BA,
IRBT,VI,
SEM,VI,
KTN,VI,
VER,VI,
DISH,VI,
RHIM,VI,
TLRY,VI,
FZM,VI,
GPRO,VI,
DDD,VI,
VOE,VI,
ICK,VI,
CARR,VI,
QRTE,VI,
HOLX,VI,
LXS,VI,
FKA,VI,
TKD,VI,
AD2,VI,
BROA,VI,
EXPE,VI,
SZG,VI,
EVN,VI,
PARA,VI,
BG,VI,
WDG,VI,
BOCN,VI,
PZX,VI,
UTDI,VI,
MOR,VI,
IOC,VI,
WI4,VI,
CIGN,VI,
INTU,VI,
HRL,VI,
CNCB,VI,
PRY,VI,
SHM,VI,
PYPL,VI,
VRLA,VI,
TRIP,VI,
MELI,VI,
SUSE,VI,
BIDU,VI,
KELL,VI,
DHER,VI,
ELV,VI,
HSIC,VI,
ABIN,VI,
NIB,VI,
ITX,VI,
BOOK,VI,
SWK,VI,
PMAG,VI,
STZ,VI,
PRLB,VI,
OMV,VI,
KLAC,VI,
NITT,VI,
MITT,VI,
SYK,VI,
ABC,VI,
EBAY,VI,
IQVH,VI,
LBTA,VI,
GME,VI,
ZAG,VI,
JD,VI,
DUE,VI,
JBHT,VI,
BOSS,VI,
TOWN,VI,
MERL,VI,
SON1,VI,
PAL,VI,
STR,VI,
UQA,VI,
UAA,VI,
ALCA,VI,
GIS,VI,
VIG,VI,
AYX,VI,
DOC,VI,
CDNS,VI,
KMBC,VI,
MARI,VI,
CHKP,VI,
SSU,VI,
CLEN,VI,
COL,VI,
TSE1,VI,
ROR1,VI,
ULTA,VI,
MAST,VI,
INTC,VI,
MMCO,VI,
ATH,VI,
AG1,VI,
NDAQ,VI,
CMCS,VI,
QCOM,VI,
BRKB,VI,
CHTR,VI,
ROK,VI,
DRI,VI,
AME,VI,
PG,VI,
ADSK,VI,
PHIA,VI,
AWK,VI,
MRK,VI,
ABBV,VI,
BSXC,VI,
ELE,VI,
TROW,VI,
ZBH,VI,
BDT,VI,
GOOC,VI,
FDX,VI,
SYNP,VI,
SHWW,VI,
MOCO,VI,
GOOA,VI,
GILD,VI,
EOAN,VI,
DKI,VI,
DBX,VI,
CMEG,VI,
ABT,VI,
LLYC,VI,
MNST,VI,
GE,VI,
AFL,VI,
FQT,VI,
BN,VI,
HSY,VI,
BYND,VI,
NEXI,VI,
CWC,VI,
MDT,VI,
KCO,VI,
KO,VI,
IDXX,VI,
EBS,VI,
MCD,VI,
POS,VI,
AGR,VI,
ESLA,VI,
DXCM,VI,
MMK,VI,
UNH,VI,
MKC,VI,
VRSK,VI,
COLG,VI,
VMWA,VI,
SEDG,VI,
SSUN,VI,
EFX,VI,
PRLD,VI,
UAC,VI,
